,ZoneCode,ZoneName,RegeionCode,RegeionName,ProductCategoryName,BusinessNature,Budget,Sales
383,Z37,Brahmanbaria,R155,Brahmanbaria - C,VECTRA,G,"4,048","2,924"
384,Z37,Brahmanbaria,R307,Brahmanbaria - A,ACTILAC,G,"3,748","7,496"
385,Z37,Brahmanbaria,R307,Brahmanbaria - A,ATHENA,G,0,345
386,Z37,Brahmanbaria,R307,Brahmanbaria - A,BROMOXOL,G,330,0
387,Z37,Brahmanbaria,R307,Brahmanbaria - A,CLACIDO,G,"41,312","31,543"
388,Z37,Brahmanbaria,R307,Brahmanbaria - A,FERISEN,G,"47,504","57,608"
389,Z37,Brahmanbaria,R307,Brahmanbaria - A,LEXOPIL,G,"1,124","1,499"
390,Z37,Brahmanbaria,R307,Brahmanbaria - A,REEF-D,G,"54,947","54,123"
391,Z37,Brahmanbaria,R307,Brahmanbaria - A,SANGRIL,G,"3,418","3,126"
392,Z37,Brahmanbaria,R307,Brahmanbaria - A,SYNDOL PLUS,G,0,0
393,Z37,Brahmanbaria,R307,Brahmanbaria - A,TREXAM,G,"1,799","1,349"
394,Z37,Brahmanbaria,R307,Brahmanbaria - A,VISET,G,"65,041","58,381"
395,Z37,Brahmanbaria,R321,NABINAGAR,CLACIDO,G,"67,378","74,592"
396,Z37,Brahmanbaria,R321,NABINAGAR,DANILO,G,"25,030","28,336"
397,Z37,Brahmanbaria,R321,NABINAGAR,FERISEN,G,"40,157","38,740"
398,Z37,Brahmanbaria,R321,NABINAGAR,FOSFOGEN,G,"7,609","9,708"
399,Z37,Brahmanbaria,R321,NABINAGAR,FUROTIL PLUS,G,"187,997","185,514"
400,Z37,Brahmanbaria,R321,NABINAGAR,LEXOPIL,G,"1,874","1,687"
401,Z37,Brahmanbaria,R321,NABINAGAR,NAPRYN,G,"56,754","60,824"
402,Z37,Brahmanbaria,R321,NABINAGAR,OXOFYLINE,G,"4,948","7,946"
403,Z37,Brahmanbaria,R321,NABINAGAR,REEF-D,G,"70,727","82,421"
404,Z37,Brahmanbaria,R321,NABINAGAR,SANGRIL,G,"1,574","1,574"
405,Z37,Brahmanbaria,R321,NABINAGAR,TREXAM,G,"2,249",900
406,Z37,Brahmanbaria,R321,NABINAGAR,VORIFAST,G,"80,435","76,462"
407,Z37,Brahmanbaria,R324,KOSBA,AVANZA,G,"17,586","13,538"
408,Z37,Brahmanbaria,R324,KOSBA,BONTIV,G,"15,868","11,334"
409,Z37,Brahmanbaria,R324,KOSBA,BROMOXOL,G,"1,034","2,155"
410,Z37,Brahmanbaria,R324,KOSBA,CAFEDON,G,"8,995","2,624"
411,Z37,Brahmanbaria,R324,KOSBA,EMISTAT,G,"212,418","230,911"
412,Z37,Brahmanbaria,R324,KOSBA,LYRIC,G,"70,629","65,502"
413,Z37,Brahmanbaria,R324,KOSBA,NIRVANA,G,"1,511",360
414,Z37,Brahmanbaria,R324,KOSBA,ROCIPRO,G,"2,834","2,204"
415,Z37,Brahmanbaria,R324,KOSBA,ROXETIL,G,"1,424",498
416,Z37,Brahmanbaria,R324,KOSBA,SLIMFAST,G,"26,987","41,019"
417,Z37,Brahmanbaria,R324,KOSBA,TICOPLAN,G,0,0
418,Z37,Brahmanbaria,R324,KOSBA,VISET,G,"115,780","96,106"
419,Z37,Brahmanbaria,R370,SARAIL,AVANZA,G,"6,522","7,826"
420,Z37,Brahmanbaria,R370,SARAIL,CLACIDO,G,"54,552","46,844"
421,Z37,Brahmanbaria,R370,SARAIL,CLEOCIN,G,"2,687","3,358"
422,Z37,Brahmanbaria,R370,SARAIL,DENVAR,G,"304,963","281,402"
423,Z37,Brahmanbaria,R370,SARAIL,EMISTAT,G,"140,133","127,284"
424,Z37,Brahmanbaria,R370,SARAIL,FUROTIL PLUS,G,"121,412","117,301"
425,Z37,Brahmanbaria,R370,SARAIL,LYRIC,G,"31,379","22,324"
426,Z37,Brahmanbaria,R370,SARAIL,MAXNOR,G,0,0
